,index,Total:,    Population_of_one_race:,        White_alone,        Black_or_African_American_alone,        American_Indian_and_Alaska_Native_alone,        Asian_alone,        Native_Hawaiian_and_Other_Pacific_Islander_alone,        Some_Other_Race_alone,year
1428,"Issaquena County, Mississippi","1,406","1,403",486,906,3,6,0,2,2010
1429,"Itawamba County, Mississippi","23,401","23,261","21,623","1,391",47,52,3,145,2010
1429,"Issaquena County, Mississippi","1,338","1,307",530,757,3,5,0,12,2020
1430,"Jackson County, Mississippi","139,668","137,046","100,735","30,034",565,"3,023",79,"2,610",2010
1430,"Itawamba County, Mississippi","23,863","23,144","21,217","1,625",60,51,0,191,2020
1431,"Jackson County, Mississippi","143,252","133,596","94,709","30,070",734,"3,204",115,"4,764",2020
1431,"Jasper County, Mississippi","17,062","16,960","7,894","8,970",17,16,1,62,2010
1432,"Jefferson County, Mississippi","7,726","7,699","1,060","6,620",13,2,1,3,2010
1432,"Jasper County, Mississippi","16,367","16,044","7,561","8,341",29,8,0,105,2020
1433,"Jefferson Davis County, Mississippi","12,487","12,400","4,834","7,477",32,18,2,37,2010
1433,"Jefferson County, Mississippi","7,260","7,126",894,"6,191",12,15,5,9,2020
1434,"Jefferson Davis County, Mississippi","11,321","11,074","4,357","6,643",11,21,0,42,2020
1434,"Jones County, Mississippi","67,761","67,144","45,531","19,153",328,303,19,"1,810",2010
1435,"Jones County, Mississippi","67,246","65,107","42,076","19,239",458,279,30,"3,025",2020
1435,"Kemper County, Mississippi","10,456","10,380","3,689","6,288",385,10,0,8,2010
1436,"Kemper County, Mississippi","8,988","8,821","2,820","5,495",465,6,9,26,2020
1436,"Lafayette County, Mississippi","47,351","46,860","33,976","11,201",121,"1,006",23,533,2010
1437,"Lamar County, Mississippi","55,658","55,039","43,011","10,883",124,656,20,345,2010
1437,"Lafayette County, Mississippi","55,813","53,378","39,274","11,381",84,"1,685",24,930,2020
1438,"Lauderdale County, Mississippi","80,261","79,595","43,957","34,330",178,580,30,520,2010
1438,"Lamar County, Mississippi","64,222","61,320","44,456","14,372",149,"1,102",50,"1,191",2020
1439,"Lauderdale County, Mississippi","72,984","70,808","36,919","32,133",137,587,36,996,2020
1439,"Lawrence County, Mississippi","12,929","12,836","8,624","3,974",18,33,2,185,2010
1440,"Lawrence County, Mississippi","12,016","11,697","7,847","3,703",17,36,4,90,2020
1440,"Leake County, Mississippi","23,805","23,604","11,793","9,654","1,439",50,0,668,2010
1441,"Leake County, Mississippi","21,275","20,779","10,145","8,235","1,430",78,7,884,2020
1441,"Lee County, Mississippi","82,910","81,876","57,497","22,619",132,517,20,"1,091",2010
1442,"Lee County, Mississippi","83,343","80,400","53,394","24,246",180,924,25,"1,631",2020
1442,"Leflore County, Mississippi","32,317","32,119","8,038","23,342",69,184,2,484,2010
1443,"Leflore County, Mississippi","28,339","27,754","6,022","20,895",34,212,0,591,2020
1443,"Lincoln County, Mississippi","34,869","34,607","23,864","10,443",63,117,8,112,2010
1444,"Lincoln County, Mississippi","34,907","34,073","23,091","10,542",79,164,9,188,2020
1444,"Lowndes County, Mississippi","59,779","59,127","32,259","25,993",113,399,31,332,2010
1445,"Lowndes County, Mississippi","58,879","56,963","29,775","25,997",130,534,16,511,2020
1445,"Madison County, Mississippi","95,203","94,410","54,270","36,368",165,"2,040",26,"1,541",2010
1446,"Madison County, Mississippi","109,145","105,563","60,827","38,647",305,"3,196",20,"2,568",2020
1446,"Marion County, Mississippi","27,088","26,845","17,822","8,752",46,85,9,131,2010
1447,"Marion County, Mississippi","24,441","23,784","15,820","7,623",49,69,2,221,2020
1447,"Marshall County, Mississippi","37,144","36,853","18,614","17,439",84,75,7,634,2010
1448,"Monroe County, Mississippi","36,989","36,698","25,035","11,420",63,71,4,105,2010
1448,"Marshall County, Mississippi","33,752","32,679","16,500","14,912",97,78,20,"1,072",2020
1449,"Montgomery County, Mississippi","10,925","10,870","5,790","4,967",16,39,1,57,2010
1449,"Monroe County, Mississippi","34,180","33,297","22,629","10,337",53,67,3,208,2020
1450,"Neshoba County, Mississippi","29,676","29,247","17,974","6,207","4,815",102,9,140,2010
1450,"Montgomery County, Mississippi","9,822","9,582","5,114","4,373",11,28,1,55,2020
1451,"Newton County, Mississippi","21,720","21,531","13,734","6,567","1,092",52,0,86,2010
1451,"Neshoba County, Mississippi","29,087","28,235","16,523","6,404","4,997",126,0,185,2020
1452,"Noxubee County, Mississippi","11,545","11,486","3,133","8,262",20,22,1,48,2010
1452,"Newton County, Mississippi","21,291","20,752","12,857","6,472","1,180",77,0,166,2020
1453,"Oktibbeha County, Mississippi","47,671","47,104","28,224","17,431",91,"1,156",16,186,2010
1453,"Noxubee County, Mississippi","10,285","10,000","2,661","7,227",13,15,0,84,2020
1454,"Panola County, Mississippi","34,707","34,402","17,161","16,875",76,68,0,222,2010
1454,"Oktibbeha County, Mississippi","51,788","50,186","29,606","18,330",111,"1,507",12,620,2020
1455,"Pearl River County, Mississippi","55,834","54,863","46,924","6,872",312,228,34,493,2010
1455,"Panola County, Mississippi","33,208","32,330","15,765","16,092",62,64,9,338,2020
1456,"Pearl River County, Mississippi","56,145","52,818","44,833","6,710",296,283,2,694,2020
1456,"Perry County, Mississippi","12,250","12,128","9,575","2,451",36,22,3,41,2010
1457,"Perry County, Mississippi","11,511","11,174","8,942","2,097",49,29,3,54,2020
1457,"Pike County, Mississippi","40,404","40,098","18,745","20,813",116,232,9,183,2010
1458,"Pike County, Mississippi","40,324","39,175","16,889","21,562",130,255,7,332,2020
1458,"Pontotoc County, Mississippi","29,957","29,550","23,984","4,131",67,56,12,"1,300",2010
1459,"Prentiss County, Mississippi","25,276","25,015","21,312","3,488",44,33,3,135,2010
1459,"Pontotoc County, Mississippi","31,184","29,946","24,126","4,226",142,55,5,"1,392",2020
1460,"Prentiss County, Mississippi","25,008","24,218","20,303","3,570",67,85,5,188,2020
1460,"Quitman County, Mississippi","8,223","8,158","2,381","5,724",19,11,1,22,2010
1461,"Quitman County, Mississippi","6,176","6,060","1,490","4,546",1,12,3,8,2020
1461,"Rankin County, Mississippi","141,617","140,102","109,523","26,634",260,"1,582",92,"2,011",2010
1462,"Rankin County, Mississippi","157,031","150,939","112,872","32,566",343,"2,269",94,"2,795",2020
1462,"Scott County, Mississippi","28,264","27,866","15,051","10,585",87,51,61,"2,031",2010
1463,"Sharkey County, Mississippi","4,916","4,894","1,370","3,490",3,11,0,20,2010
1463,"Scott County, Mississippi","27,990","26,849","13,451","10,012",259,103,1,"3,023",2020
1464,"Simpson County, Mississippi","27,503","27,279","17,260","9,666",49,78,35,191,2010
1464,"Sharkey County, Mississippi","3,800","3,698",970,"2,689",1,20,5,13,2020
1465,"Smith County, Mississippi","16,491","16,400","12,503","3,776",19,13,2,87,2010
1465,"Simpson County, Mississippi","25,949","25,186","15,986","8,838",41,84,2,235,2020
1466,"Smith County, Mississippi","14,209","13,881","10,613","3,112",20,21,3,112,2020
1466,"Stone County, Mississippi","17,786","17,597","13,982","3,404",90,58,5,58,2010
1467,"Stone County, Mississippi","18,333","17,636","13,933","3,253",84,101,9,256,2020
1467,"Sunflower County, Mississippi","29,450","29,312","7,493","21,479",56,84,10,190,2010
1468,"Sunflower County, Mississippi","25,971","25,533","6,894","18,164",23,84,1,367,2020
1468,"Tallahatchie County, Mississippi","15,378","15,201","5,988","8,679",42,117,12,363,2010
1469,"Tate County, Mississippi","28,886","28,541","19,313","8,755",62,65,7,339,2010
1469,"Tallahatchie County, Mississippi","12,715","12,530","5,029","7,454",17,10,3,17,2020
1470,"Tippah County, Mississippi","22,232","21,915","17,779","3,544",54,34,3,501,2010
1470,"Tate County, Mississippi","28,064","27,063","18,168","8,262",72,70,3,488,2020
1471,"Tippah County, Mississippi","21,815","21,095","16,806","3,464",42,25,0,758,2020
1471,"Tishomingo County, Mississippi","19,593","19,429","18,509",519,37,21,1,342,2010
1472,"Tishomingo County, Mississippi","18,850","18,133","17,349",434,59,41,0,250,2020
1472,"Tunica County, Mississippi","10,778","10,679","2,553","7,918",14,61,9,124,2010
1473,"Tunica County, Mississippi","9,782","9,620","1,869","7,559",13,28,0,151,2020
1473,"Union County, Mississippi","27,134","26,803","21,973","3,935",46,46,11,792,2010
1474,"Union County, Mississippi","27,777","26,803","21,752","3,974",68,117,0,892,2020
1474,"Walthall County, Mississippi","15,443","15,270","8,250","6,873",55,24,3,65,2010
1475,"Walthall County, Mississippi","13,884","13,551","7,593","5,732",42,51,8,125,2020
1475,"Warren County, Mississippi","48,773","48,349","24,548","22,920",129,413,10,329,2010
1476,"Warren County, Mississippi","44,722","43,341","21,126","21,417",80,365,0,353,2020
1476,"Washington County, Mississippi","51,137","50,836","13,784","36,468",69,291,9,215,2010
1477,"Washington County, Mississippi","44,922","44,008","11,264","32,042",64,302,11,325,2020
1477,"Wayne County, Mississippi","20,747","20,586","12,300","8,071",39,34,7,135,2010
1478,"Webster County, Mississippi","10,253","10,175","8,065","2,040",21,11,0,38,2010
1478,"Wayne County, Mississippi","19,779","19,370","11,352","7,732",39,35,2,210,2020
1479,"Webster County, Mississippi","9,926","9,594","7,726","1,785",20,13,1,49,2020
1479,"Wilkinson County, Mississippi","9,878","9,846","2,834","6,992",12,2,0,6,2010
1480,"Winston County, Mississippi","19,198","19,032","9,972","8,753",219,37,4,47,2010
1480,"Wilkinson County, Mississippi","8,587","8,368","2,531","5,787",19,15,0,16,2020
1481,"Winston County, Mississippi","17,714","17,345","8,894","8,121",178,42,1,109,2020
1481,"Yalobusha County, Mississippi","12,678","12,564","7,667","4,805",32,20,1,39,2010
1482,"Yalobusha County, Mississippi","12,481","12,133","7,381","4,638",24,24,3,63,2020
1482,"Yazoo County, Mississippi","28,065","27,634","11,212","16,013",82,125,4,198,2010
1483,"Yazoo County, Mississippi","26,743","26,215","10,009","15,931",52,115,6,102,2020
1483,"Adair County, Missouri","25,607","25,172","24,066",408,79,453,13,153,2010
1484,"Andrew County, Missouri","17,291","17,097","16,843",72,51,75,2,54,2010
1484,"Adair County, Missouri","25,314","24,103","21,843","1,279",51,687,13,230,2020
1485,"Atchison County, Missouri","5,685","5,644","5,600",17,10,9,3,5,2010
1485,"Andrew County, Missouri","18,135","17,288","16,907",156,53,89,1,82,2020
1486,"Audrain County, Missouri","25,529","25,089","22,931","1,646",91,115,8,298,2010
1486,"Atchison County, Missouri","5,305","5,094","5,008",23,25,8,0,30,2020
1487,"Barry County, Missouri","35,597","34,924","32,792",107,317,467,8,"1,233",2010
1487,"Audrain County, Missouri","24,962","23,534","21,648","1,307",89,114,2,374,2020
1488,"Barry County, Missouri","34,534","31,791","28,655",106,453,811,73,"1,693",2020
1488,"Barton County, Missouri","12,402","12,096","11,788",47,142,29,4,86,2010
1489,"Barton County, Missouri","11,637","10,792","10,462",32,151,39,2,106,2020
1489,"Bates County, Missouri","17,049","16,813","16,464",150,104,27,2,66,2010
1490,"Bates County, Missouri","16,042","15,352","14,925",155,99,48,9,116,2020
1490,"Benton County, Missouri","19,056","18,801","18,508",58,117,54,5,59,2010
1491,"Benton County, Missouri","19,394","18,380","18,031",76,108,57,2,106,2020
1491,"Bollinger County, Missouri","12,363","12,259","12,106",32,77,26,0,18,2010
1492,"Bollinger County, Missouri","10,567","10,067","9,932",39,34,23,3,36,2020
1492,"Boone County, Missouri","162,642","158,069","134,621","15,111",624,"6,144",93,"1,476",2010
1493,"Buchanan County, Missouri","89,201","87,016","79,443","4,662",396,722,185,"1,608",2010
1493,"Boone County, Missouri","183,610","170,237","139,955","18,100",627,"7,820",125,"3,610",2020
1494,"Buchanan County, Missouri","84,793","78,383","70,025","4,423",449,"1,063",439,"1,984",2020
1494,"Butler County, Missouri","42,794","41,869","38,860","2,256",234,283,15,221,2010
1495,"Butler County, Missouri","42,130","39,398","36,033","2,488",205,304,16,352,2020
1495,"Caldwell County, Missouri","9,424","9,267","9,091",40,36,18,2,80,2010
1496,"Callaway County, Missouri","44,332","43,490","40,778","2,032",217,245,17,201,2010
1496,"Caldwell County, Missouri","8,815","8,440","8,251",69,38,26,7,49,2020
1497,"Camden County, Missouri","44,002","43,420","42,468",179,219,184,8,362,2010
1497,"Callaway County, Missouri","44,283","41,561","38,771","1,974",157,226,30,403,2020
1498,"Cape Girardeau County, Missouri","75,674","74,284","67,137","5,330",186,898,23,710,2010
1498,"Camden County, Missouri","42,745","40,334","39,109",258,210,221,29,507,2020
1499,"Carroll County, Missouri","9,295","9,193","8,981",154,21,12,8,17,2010
1499,"Cape Girardeau County, Missouri","81,710","76,952","67,937","6,503",226,"1,314",15,957,2020
1500,"Carter County, Missouri","6,265","6,165","6,053",7,70,9,1,25,2010
1500,"Carroll County, Missouri","8,495","8,117","7,944",97,17,15,0,44,2020
1501,"Cass County, Missouri","99,478","97,441","91,261","3,517",544,641,68,"1,410",2010
1501,"Carter County, Missouri","5,202","4,910","4,837",13,20,22,4,14,2020
1502,"Cedar County, Missouri","13,982","13,736","13,544",14,83,44,3,48,2010
1502,"Cass County, Missouri","107,824","99,552","91,092","5,018",574,853,109,"1,906",2020
1503,"Cedar County, Missouri","14,188","13,311","12,996",64,105,42,9,95,2020
1503,"Chariton County, Missouri","7,831","7,765","7,571",156,19,7,0,12,2010
1504,"Christian County, Missouri","77,422","76,050","74,122",449,491,393,53,542,2010
1504,"Chariton County, Missouri","7,408","7,154","6,969",149,20,5,3,8,2020
1505,"Clark County, Missouri","7,139","7,067","7,011",19,9,23,0,5,2010
1505,"Christian County, Missouri","88,842","82,762","79,916",616,539,647,72,972,2020
1506,"Clay County, Missouri","221,939","215,841","194,100","11,506","1,176","4,551",586,"3,922",2010
1506,"Clark County, Missouri","6,634","6,425","6,363",23,9,12,0,18,2020
1507,"Clinton County, Missouri","20,743","20,406","19,802",290,153,72,2,87,2010
1507,"Clay County, Missouri","253,335","231,493","198,714","18,271","1,429","6,126","1,017","5,936",2020
1508,"Cole County, Missouri","75,990","74,570","64,137","8,512",242,966,46,667,2010
1508,"Clinton County, Missouri","21,184","19,941","19,426",209,78,85,6,137,2020
1509,"Cooper County, Missouri","17,601","17,299","15,914","1,207",58,78,3,39,2010
1509,"Cole County, Missouri","77,279","72,679","62,241","8,123",257,975,70,"1,013",2020
1510,"Crawford County, Missouri","24,696","24,410","24,020",67,112,73,11,127,2010
1510,"Cooper County, Missouri","17,103","16,020","14,850",924,56,67,6,117,2020
1511,"Dade County, Missouri","7,883","7,709","7,570",30,70,22,3,14,2010
1511,"Crawford County, Missouri","23,056","21,693","21,138",148,124,92,14,177,2020
1512,"Dade County, Missouri","7,569","7,188","7,038",36,50,24,0,40,2020
1512,"Dallas County, Missouri","16,777","16,486","16,182",35,142,40,11,76,2010
1513,"Daviess County, Missouri","8,433","8,335","8,266",23,32,5,2,7,2010
1513,"Dallas County, Missouri","17,071","16,137","15,843",46,100,25,19,104,2020
1514,"Daviess County, Missouri","8,430","8,091","7,977",33,29,18,10,24,2020
1514,"DeKalb County, Missouri","12,892","12,794","11,205","1,459",56,32,13,29,2010
1515,"DeKalb County, Missouri","11,029","10,590","9,780",672,33,43,2,60,2020
1515,"Dent County, Missouri","15,657","15,400","15,129",55,135,41,7,33,2010
1516,"Dent County, Missouri","14,421","13,593","13,307",70,68,54,7,87,2020
1516,"Douglas County, Missouri","13,684","13,439","13,284",30,77,31,0,17,2010
1517,"Dunklin County, Missouri","31,953","31,454","27,179","3,105",71,108,9,982,2010
1517,"Douglas County, Missouri","11,578","10,880","10,673",40,77,25,4,61,2020
1518,"Dunklin County, Missouri","28,283","26,580","22,068","3,184",84,80,4,"1,160",2020
1518,"Franklin County, Missouri","101,492","100,309","98,241",854,318,413,31,452,2010
1519,"Franklin County, Missouri","104,682","99,044","96,383",904,354,540,37,826,2020
1519,"Gasconade County, Missouri","15,222","15,054","14,903",27,32,53,6,33,2010
1520,"Gentry County, Missouri","6,738","6,692","6,629",21,13,18,0,11,2010
1520,"Gasconade County, Missouri","14,794","13,936","13,756",23,37,51,14,55,2020
1521,"Greene County, Missouri","275,174","267,999","250,866","7,892","1,856","4,535",304,"2,546",2010
1521,"Gentry County, Missouri","6,162","5,952","5,883",15,6,9,1,38,2020
1522,"Grundy County, Missouri","10,261","10,156","9,947",59,43,37,3,67,2010
1522,"Greene County, Missouri","298,915","274,982","250,745","10,233","2,140","6,250",407,"5,207",2020
1523,"Harrison County, Missouri","8,957","8,874","8,738",30,32,18,9,47,2010
1523,"Grundy County, Missouri","9,808","9,469","9,225",56,37,54,8,89,2020
1524,"Harrison County, Missouri","8,157","7,854","7,673",37,48,24,7,65,2020
1524,"Henry County, Missouri","22,272","21,949","21,473",226,111,52,13,74,2010
1525,"Hickory County, Missouri","9,627","9,479","9,338",25,67,16,8,25,2010
1525,"Henry County, Missouri","21,946","20,597","20,008",187,107,97,8,190,2020
1526,"Hickory County, Missouri","8,279","7,834","7,683",18,50,15,0,68,2020
1526,"Holt County, Missouri","4,912","4,886","4,801",8,48,15,1,13,2010
1527,"Howard County, Missouri","10,144","9,954","9,310",532,47,26,4,35,2010
1527,"Holt County, Missouri","4,223","4,080","4,004",10,32,2,0,32,2020
1528,"Howell County, Missouri","40,400","39,743","38,903",156,270,198,14,202,2010
1528,"Howard County, Missouri","10,151","9,641","8,931",542,37,27,3,101,2020
1529,"Iron County, Missouri","10,630","10,474","10,250",138,51,11,0,24,2010
1529,"Howell County, Missouri","39,750","37,318","36,329",194,291,222,23,259,2020
1530,"Iron County, Missouri","9,537","8,951","8,689",147,65,34,2,14,2020
1530,"Jackson County, Missouri","674,158","653,472","451,073","161,367","3,352","10,755","1,610","25,315",2010
1531,"Jasper County, Missouri","117,404","113,669","103,596","2,267","1,778","1,167",293,"4,568",2010
1531,"Jackson County, Missouri","717,204","652,019","435,820","158,559","4,410","15,201","1,811","36,218",2020
1532,"Jasper County, Missouri","122,761","111,840","98,581","2,342","2,249","1,507",456,"6,705",2020
1532,"Jefferson County, Missouri","218,733","215,784","211,007","1,798",677,"1,417",49,836,2010
1533,"Jefferson County, Missouri","226,739","211,748","205,007","2,344",709,"1,859",72,"1,757",2020
1533,"Johnson County, Missouri","52,595","51,225","47,344","2,279",278,802,124,398,2010
1534,"Johnson County, Missouri","54,013","49,810","45,354","2,369",305,844,215,723,2020
1534,"Knox County, Missouri","4,131","4,089","4,047",14,7,8,0,13,2010
1535,"Knox County, Missouri","3,744","3,635","3,573",20,8,18,0,16,2020
1535,"Laclede County, Missouri","35,571","34,885","34,051",241,240,156,18,179,2010
1536,"Lafayette County, Missouri","33,381","32,731","31,422",742,140,133,48,246,2010
1536,"Laclede County, Missouri","36,039","33,824","32,848",268,219,194,18,277,2020
1537,"Lafayette County, Missouri","32,984","30,964","29,627",679,155,116,12,375,2020
1537,"Lawrence County, Missouri","38,634","37,981","36,179",102,329,136,25,"1,210",2010
1538,"Lawrence County, Missouri","38,001","35,263","33,137",135,415,176,40,"1,360",2020
1538,"Lewis County, Missouri","10,211","10,069","9,635",323,30,25,7,49,2010
1539,"Lewis County, Missouri","10,032","9,693","9,362",185,34,22,0,90,2020
1539,"Lincoln County, Missouri","52,566","51,629","49,938",984,173,193,13,328,2010
1540,"Lincoln County, Missouri","59,574","55,684","53,497","1,097",232,235,31,592,2020
1540,"Linn County, Missouri","12,761","12,602","12,401",86,31,27,1,56,2010
1541,"Linn County, Missouri","11,874","11,365","11,136",67,37,25,6,94,2020
1541,"Livingston County, Missouri","15,195","15,013","14,494",367,49,42,3,58,2010
1542,"McDonald County, Missouri","23,083","22,333","19,619",133,663,192,258,"1,468",2010
1542,"Livingston County, Missouri","14,557","13,995","13,473",316,47,90,5,64,2020
1543,"McDonald County, Missouri","23,303","20,872","17,093",435,586,379,870,"1,509",2020
1543,"Macon County, Missouri","15,566","15,324","14,816",353,33,64,9,49,2010
1544,"Macon County, Missouri","15,209","14,374","13,855",309,33,84,4,89,2020
1544,"Madison County, Missouri","12,226","12,124","11,873",34,44,42,3,128,2010
1545,"Madison County, Missouri","12,626","11,922","11,615",56,63,46,0,142,2020
1545,"Maries County, Missouri","9,176","9,072","8,964",24,54,5,1,24,2010
1546,"Marion County, Missouri","28,781","28,170","26,421","1,417",51,153,21,107,2010
1546,"Maries County, Missouri","8,432","7,956","7,841",23,43,7,0,42,2020
1547,"Marion County, Missouri","28,525","26,959","25,119","1,374",94,172,16,184,2020
1547,"Mercer County, Missouri","3,785","3,749","3,700",6,17,19,1,6,2010
1548,"Mercer County, Missouri","3,538","3,431","3,303",1,46,3,0,78,2020
1548,"Miller County, Missouri","24,748","24,378","23,941",99,136,70,36,96,2010
1549,"Miller County, Missouri","24,722","23,563","23,089",117,124,67,32,134,2020
1549,"Mississippi County, Missouri","14,358","14,207","10,633","3,440",30,24,1,79,2010
1550,"Mississippi County, Missouri","12,577","12,164","8,910","3,083",37,20,0,114,2020
1550,"Moniteau County, Missouri","15,607","15,421","14,426",581,54,56,10,294,2010
1551,"Monroe County, Missouri","8,840","8,731","8,403",264,26,28,1,9,2010
1551,"Moniteau County, Missouri","15,473","14,633","13,876",282,72,49,16,338,2020
1552,"Montgomery County, Missouri","12,236","12,054","11,713",201,23,31,2,84,2010
1552,"Monroe County, Missouri","8,666","8,259","7,956",181,32,31,1,58,2020
1553,"Montgomery County, Missouri","11,322","10,801","10,518",106,30,55,5,87,2020
1553,"Morgan County, Missouri","20,565","20,201","19,770",131,135,76,2,87,2010
1554,"New Madrid County, Missouri","18,956","18,680","15,491","2,999",45,80,7,58,2010
1554,"Morgan County, Missouri","21,006","19,967","19,497",126,116,61,8,159,2020
1555,"Newton County, Missouri","58,114","56,327","51,914",438,"1,339",770,507,"1,359",2010
1555,"New Madrid County, Missouri","16,434","15,645","12,703","2,741",38,62,4,97,2020
1556,"Nodaway County, Missouri","23,370","23,153","22,083",566,45,378,3,78,2010
1556,"Newton County, Missouri","58,648","53,840","48,383",532,"1,483",798,805,"1,839",2020
1557,"Nodaway County, Missouri","21,241","20,413","19,465",363,47,403,2,133,2020
1557,"Oregon County, Missouri","10,881","10,698","10,511",15,126,32,4,10,2010
1558,"Oregon County, Missouri","8,635","8,178","8,049",25,69,9,0,26,2020
1558,"Osage County, Missouri","13,878","13,812","13,718",28,32,14,7,13,2010
1559,"Ozark County, Missouri","9,723","9,588","9,468",11,70,13,0,26,2010
1559,"Osage County, Missouri","13,274","12,834","12,745",24,30,3,10,22,2020
1560,"Ozark County, Missouri","8,553","8,179","8,035",19,47,15,5,58,2020
1560,"Pemiscot County, Missouri","18,296","18,025","12,882","4,899",50,41,7,146,2010
1561,"Pemiscot County, Missouri","15,661","14,887","10,280","4,308",38,36,4,221,2020
1561,"Perry County, Missouri","18,971","18,801","18,442",75,61,85,6,132,2010
1562,"Perry County, Missouri","18,956","18,195","17,748",102,30,123,0,192,2020
1562,"Pettis County, Missouri","42,201","41,250","37,839","1,264",177,253,31,"1,686",2010
1563,"Pettis County, Missouri","42,980","39,721","35,508","1,390",238,296,120,"2,169",2020
1563,"Phelps County, Missouri","45,156","44,185","41,409","1,008",251,"1,316",33,168,2010
1564,"Phelps County, Missouri","44,638","41,716","38,383","1,044",261,"1,517",27,484,2020
1564,"Pike County, Missouri","18,516","18,255","16,698","1,333",39,43,3,139,2010
1565,"Pike County, Missouri","17,587","16,732","15,546",944,46,27,8,161,2020
1565,"Platte County, Missouri","89,322","87,128","77,914","5,270",449,"2,051",292,"1,152",2010
1566,"Platte County, Missouri","106,718","97,987","83,516","8,296",544,"2,746",700,"2,185",2020
1566,"Polk County, Missouri","31,137","30,661","29,946",235,197,105,9,169,2010
1567,"Polk County, Missouri","31,519","29,847","29,053",247,212,131,6,198,2020
1567,"Pulaski County, Missouri","52,274","49,742","40,506","5,984",410,"1,346",298,"1,198",2010
1568,"Pulaski County, Missouri","53,955","48,993","38,553","6,322",447,"1,835",410,"1,426",2020
1568,"Putnam County, Missouri","4,979","4,937","4,889",9,7,24,1,7,2010
1569,"Putnam County, Missouri","4,681","4,544","4,475",12,14,4,0,39,2020
1569,"Ralls County, Missouri","10,167","10,068","9,892",108,14,20,12,22,2010
1570,"Ralls County, Missouri","10,355","9,987","9,748",114,26,24,4,71,2020
1570,"Randolph County, Missouri","25,414","24,879","23,133","1,490",74,106,3,73,2010
1571,"Randolph County, Missouri","24,716","23,269","21,535","1,361",111,95,9,158,2020
1571,"Ray County, Missouri","23,494","23,171","22,635",280,119,61,17,59,2010
1572,"Ray County, Missouri","23,158","21,761","21,109",233,145,79,8,187,2020
1572,"Reynolds County, Missouri","6,696","6,592","6,477",45,41,12,1,16,2010
1573,"Ripley County, Missouri","14,100","13,901","13,649",49,124,47,1,31,2010
1573,"Reynolds County, Missouri","6,096","5,805","5,690",36,31,26,2,20,2020
1574,"St. Charles County, Missouri","360,485","354,175","327,018","14,960",851,"7,850",173,"3,323",2010
1574,"Ripley County, Missouri","10,679","10,070","9,942",31,44,29,1,23,2020
1575,"St. Charles County, Missouri","405,262","379,026","339,665","20,894",910,"11,147",230,"6,180",2020
1575,"St. Clair County, Missouri","9,805","9,629","9,464",53,68,12,1,31,2010
1576,"St. Clair County, Missouri","9,284","8,832","8,643",26,67,21,9,66,2020
1576,"Ste. Genevieve County, Missouri","18,145","17,966","17,715",118,53,49,2,29,2010
1577,"Ste. Genevieve County, Missouri","18,479","17,736","17,270",320,54,29,2,61,2020
1577,"St. Francois County, Missouri","65,359","64,603","61,180","2,775",246,244,32,126,2010
1578,"St. Francois County, Missouri","66,922","63,638","59,940","2,658",212,403,21,404,2020
1578,"St. Louis County, Missouri","998,954","980,358","701,948","233,029","1,962","34,597",307,"8,515",2010
1579,"St. Louis County, Missouri","1,004,125","946,542","632,283","246,642","2,376","48,784",295,"16,162",2020
1579,"Saline County, Missouri","23,370","22,808","20,135","1,235",75,124,158,"1,081",2010
1580,"Saline County, Missouri","23,333","21,717","17,995","1,172",101,175,410,"1,864",2020
1580,"Schuyler County, Missouri","4,431","4,395","4,369",1,7,10,0,8,2010
1581,"Scotland County, Missouri","4,843","4,820","4,776",3,12,11,0,18,2010
1581,"Schuyler County, Missouri","4,032","3,918","3,878",0,1,15,1,23,2020
1582,"Scott County, Missouri","39,191","38,555","33,606","4,468",83,133,10,255,2010
1582,"Scotland County, Missouri","4,716","4,581","4,550",12,5,10,4,0,2020
1583,"Scott County, Missouri","38,059","36,060","30,913","4,502",103,154,5,383,2020
1583,"Shannon County, Missouri","8,441","8,249","8,103",17,77,15,0,37,2010
1584,"Shannon County, Missouri","7,031","6,602","6,506",7,37,13,0,39,2020
1584,"Shelby County, Missouri","6,373","6,326","6,249",32,11,13,0,21,2010
1585,"Stoddard County, Missouri","29,968","29,666","29,150",275,109,51,4,77,2010
1585,"Shelby County, Missouri","6,103","5,887","5,791",24,31,2,1,38,2020
1586,"Stoddard County, Missouri","28,672","27,528","26,836",305,89,94,2,202,2020
1586,"Stone County, Missouri","32,202","31,766","31,299",53,182,96,10,126,2010
1587,"Sullivan County, Missouri","6,714","6,634","5,957",34,44,8,9,582,2010
1587,"Stone County, Missouri","31,076","29,271","28,574",85,220,115,20,257,2020
1588,"Sullivan County, Missouri","5,999","5,517","4,680",208,53,30,1,545,2020
1588,"Taney County, Missouri","51,675","50,546","48,375",449,410,337,46,929,2010
1589,"Taney County, Missouri","56,066","51,800","47,719",851,487,617,197,"1,929",2020
1589,"Texas County, Missouri","26,008","25,533","24,332",876,180,81,8,56,2010
1590,"Texas County, Missouri","24,487","23,403","22,240",790,150,65,8,150,2020
1590,"Vernon County, Missouri","21,159","20,864","20,409",102,155,104,8,86,2010
1591,"Vernon County, Missouri","19,707","18,686","18,097",110,161,103,18,197,2020
1591,"Warren County, Missouri","32,513","31,938","30,685",621,133,136,11,352,2010
1592,"Warren County, Missouri","35,532","33,131","31,419",731,161,149,3,668,2020
